url,page,type,function
/,index,GET,
/content,content,GET,
/content/payment,payment,GET,
/content/payment,ticketList,POST,
/mypage,myPage,GET,
/mypage/ticketlist,ticketList,GET,
/mypage/ticketlist?mi=1,qrCode,GET,
/mypage/registermeeting,registerMeeting,GET,
/mypage/refund,refund,GET,
/mypage/refund,refund,POST,
/mypage/history,history,GET,
/mypage/history?mi=1,historyContent,GET,
/mypage/cancellist,cancelList,GET,
/mypage/cancellist,cancelList,POST,refundAll
/user,user,GET,
/user/signup,signUp,GET,
/user/login,login,GET,
/user/logout,index,POST,
,,,